Iteration,train
0,3.64745
1,0.475095
2,0.280242
3,0.19807
4,0.231554
5,0.156789
6,0.177879
7,0.170646
8,0.156539
9,0.0310464
10,0.0273302
11,0.0225214
12,0.0263796
13,0.0292064
14,0.0258907
15,0.0226537
16,0.00522311
17,0.00377475
18,0.00351241
19,0.00495158
20,0.00309858
21,0.00329385
22,0.000947665
23,0.00141851
24,0.000327261
25,0.000636238
26,0.000223991
27,4.49754e-05
28,7.688e-05
29,9.44732e-05
0,0.731544
1,0.226529
2,0.196339
3,0.232638
4,0.186363
5,0.222866
6,0.0345578
7,0.0274171
8,0.0383414
9,0.0284223
10,0.0339455
11,0.027895
12,0.0101177
13,0.00876159
14,0.00506134
15,0.00229638
16,0.00717236
17,0.00728718
18,0.00219429
19,0.00196316
20,0.000521785
21,0.00175919
22,0.000204593
23,0.000860326
24,0.000250079
25,8.96168e-05
26,0.000261952
27,0.000206823
28,0.000434084
29,6.38658e-05
0,2.92662
1,0.452413
2,0.244743
3,0.223064
4,0.187131
5,0.160535
6,0.151372
7,0.169929
8,0.0243052
9,0.0216469
10,0.0224717
11,0.0257068
12,0.0202126
13,0.0035975
14,0.0038101
15,0.00183785
16,0.00290551
17,0.000794033
18,0.00105383
19,0.000745494
20,0.000298417
21,0.000239369
22,0.000169929
23,6.10989e-05
24,0.00010341
25,0.000521058
26,0.000304788
27,2.11665e-05
28,5.82353e-05
29,1.01993e-05
0,0.611542
1,0.182638
2,0.173074
3,0.233688
4,0.172819
5,0.204301
6,0.207033
7,0.195619
8,0.0391212
9,0.0336818
10,0.0278314
11,0.0416893
12,0.0255625
13,0.00966537
14,0.00540826
15,0.00586287
16,0.00438712
17,0.00621442
18,0.000865599
19,0.00134223
20,0.000503637
21,0.000621618
22,2.27853e-05
23,0.000506698
24,0.000312006
25,0.000243568
26,0.000937222
27,0.000284727
28,0.000591684
29,0.000273465
