Iteration,val
0,0.427107
1,0.109297
2,0.0959376
3,0.0691327
4,0.0557185
5,0.0530638
6,0.0539457
7,0.1533
8,0.0842194
9,0.0199942
10,0.0250374
11,0.024794
12,0.0128656
13,0.0200943
14,0.0218868
15,0.0130435
16,0.00861991
17,0.0081671
18,0.0079038
19,0.010119
20,0.00843707
21,0.0113317
22,0.00801425
23,0.00842961
24,0.00828406
25,0.00699648
26,0.0075479
27,0.00764397
28,0.0081818
29,0.00774506
0,0.0425099
1,0.163946
2,0.0159461
3,0.0399201
4,0.0601911
5,0.0320794
6,0.0166126
7,0.0205831
8,0.00482055
9,0.0122768
10,0.00944302
11,0.0123618
12,0.00356203
13,0.00201529
14,0.00227602
15,0.00275827
16,0.0206484
17,0.00295311
18,0.00393255
19,0.00350194
20,0.00340968
21,0.00345793
22,0.00347925
23,0.00339413
24,0.00320581
25,0.00319228
26,0.00311263
27,0.00291248
28,0.00275141
29,0.00242779
0,0.336849
1,0.382171
2,0.0980662
3,0.038168
4,0.0261009
5,0.0761989
6,0.0823242
7,0.035632
8,0.0146019
9,0.00782383
10,0.00784639
11,0.0160525
12,0.0082967
13,0.00379981
14,0.00649364
15,0.00519736
16,0.00511137
17,0.00475236
18,0.00310565
19,0.0039742
20,0.00389605
21,0.00392762
22,0.00406319
23,0.00354663
24,0.00349078
25,0.00360874
26,0.00365955
27,0.00361566
28,0.0035963
29,0.00363528
0,0.117024
1,0.292321
2,0.108599
3,0.0520719
4,0.0147126
5,0.0237273
6,0.142408
7,0.0265447
8,0.007115
9,0.00319042
10,0.00730255
11,0.00991702
12,0.0113146
13,0.00273832
14,0.00553705
15,0.003981
16,0.00848508
17,0.00314786
18,0.00248086
19,0.00242147
20,0.00248242
21,0.0027473
22,0.002837
23,0.00260482
24,0.0028923
25,0.00282931
26,0.00279066
27,0.00270649
28,0.00262041
29,0.00261355
